kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;250;20750;2886;8943;5;"[252,1650,1853,1937,1956]";"[20753,173956,190465,196651,198420]";"[5509,8943,8943,8943,8943]";"[9928,9333,9138,8958,8943]";1127.00;1426.00
2;250;20750;4336;4958;6;"[252,2381,2790,2917,2974,3008]";"[20754,235311,271775,282453,288289,291896]";"[2454,4958,4958,4958,4958,4958]";"[5483,5156,5018,4984,4978,4958]";2124.00;2614.00
2;250;20750;16792;108815;5;"[252,8890,12075,12430,12757]";"[20752,929582,1189846,1207070,1238917]";"[61294,108815,108815,108815,108815]";"[123655,115955,112475,110205,108815]";9213.00;9358.00
2;250;20750;1175;4233;4;"[252,814,896,917]";"[20753,76284,81688,83093]";"[2824,4201,4233,4233]";"[4649,4333,4265,4233]";310.00;436.00
2;250;20750;18023;95053;6;"[252,10801,14218,14726,15141,15478]";"[20752,942819,1183730,1206016,1223842,1237005]";"[51837,95053,95053,95053,95053,95053]";"[104824,98938,96580,95818,95299,95053]";13129.00;12334.00
2;250;20750;7458;25341;5;"[252,4698,5425,5594,5737]";"[20753,408738,452292,465470,470805]";"[9984,25101,25341,25341,25341]";"[28847,26203,25639,25473,25341]";3004.00;3483.00
2;250;20750;12792;99000;6;"[252,8027,9683,10333,10535,10773]";"[20752,754919,857983,899774,904357,910151]";"[64077,99000,99000,99000,99000,99000]";"[111510,106086,102744,100470,99318,99000]";8766.00;8952.00
2;250;20750;1182;468;6;"[252,756,848,883,893,898]";"[20754,78589,85429,88104,88859,89232]";"[233,468,468,468,468,468]";"[533,492,480,474,471,468]";573.00;779.00
2;250;20750;2876;16307;4;"[252,1874,2088,2105]";"[20754,157545,173162,174282]";"[12238,16307,16307,16307]";"[17609,16517,16319,16307]";687.00;931.00
2;250;20750;4410;3190;7;"[252,2924,3312,3540,3660,3732,3756]";"[20752,299364,324272,335896,341616,344532,345388]";"[1701,3190,3190,3190,3190,3190,3190]";"[3818,3592,3422,3292,3256,3214,3190]";3641.00;4014.00
2;250;20750;2836;22321;4;"[252,1894,2010,2032]";"[20753,176879,181961,183295]";"[16849,22321,22321,22321]";"[23765,22513,22405,22321]";726.00;998.00
2;250;20750;665;1561;5;"[252,515,545,555,558]";"[20753,46590,48444,49010,49094]";"[576,1561,1561,1561,1561]";"[1726,1603,1579,1564,1561]";226.00;326.00
